log.prior	log.likelihood	log.likelihood.test.set
-1.342987246834461075e+03 -1.213623948545209714e+03 -9.206946790838745187e+01
-1.345059926220145371e+03 -1.221102871579934572e+03 -9.169818609103964491e+01
-1.346681585112144148e+03 -1.214596829982374402e+03 -9.117152151782096325e+01
-1.351018001149053816e+03 -1.218195287892986016e+03 -9.076009316532804405e+01
-1.370040218941254807e+03 -1.210133646961135355e+03 -9.057743092647601202e+01
-1.358634174238743526e+03 -1.210420487434998449e+03 -9.090311764947855977e+01
-1.346656404225811684e+03 -1.225999708905173520e+03 -9.145376933686745247e+01
-1.338445327112555105e+03 -1.214510979625309119e+03 -9.099822549887079504e+01
-1.336724303871694474e+03 -1.212024186303494616e+03 -9.172066443466158603e+01
-1.345629858483940097e+03 -1.212877298529843074e+03 -9.132443687633633544e+01
-1.346615338968022115e+03 -1.215635924782126494e+03 -9.087543179301547980e+01
-1.366662216523678808e+03 -1.209853685730178086e+03 -9.078492557516133843e+01
-1.358350382855015368e+03 -1.212229436794330013e+03 -9.077709778206846636e+01
-1.359624610507250964e+03 -1.210883058033423822e+03 -9.112472660551753734e+01
-1.363729829785167794e+03 -1.210651719175017206e+03 -9.068399352594892093e+01
-1.390034544936893099e+03 -1.209835698954558438e+03 -9.036740079064446718e+01
-1.393146027239320347e+03 -1.216155972118921454e+03 -9.187400570434314773e+01
-1.377643527907987391e+03 -1.208495927328101970e+03 -9.205360765065140072e+01
-1.381005280583949570e+03 -1.211440001276233943e+03 -9.193108896579983025e+01
-1.376734128254562620e+03 -1.212423785160321131e+03 -8.990136590590495302e+01
-1.355187842300920238e+03 -1.213553460341937125e+03 -9.109588722057466725e+01
-1.359078533701459264e+03 -1.211793824665240663e+03 -9.121380924956733338e+01
-1.354676724452155895e+03 -1.206686417032007512e+03 -9.102219715406721434e+01
-1.355411651941349191e+03 -1.206381319405573549e+03 -9.185805322271878026e+01
-1.352943861048614963e+03 -1.208156157095531626e+03 -9.090596410715997422e+01
-1.353452806165786797e+03 -1.211677519924372973e+03 -9.021521254999203165e+01
-1.370576959422319078e+03 -1.203148937899453813e+03 -8.968030228427940642e+01
-1.357167282143078864e+03 -1.217351281633729286e+03 -9.026783822019581294e+01
-1.359239541589362716e+03 -1.213366743264763500e+03 -9.159366399271729620e+01
-1.369303163253951652e+03 -1.205781081321245892e+03 -9.117558297455852312e+01
-1.376450768531433141e+03 -1.205167312627673482e+03 -9.223558994056807592e+01
-1.372449633401960455e+03 -1.203836759461364409e+03 -9.207206713918665741e+01
-1.375736440710935312e+03 -1.205521360250488215e+03 -9.106579548199295004e+01
-1.383582223587585986e+03 -1.207584241982561252e+03 -9.034635812144449574e+01
-1.379415731668801527e+03 -1.207593562119141552e+03 -9.063681633687664885e+01
-1.387350518237683900e+03 -1.204821659910110611e+03 -9.013354944834463822e+01
-1.409609297621510677e+03 -1.202080003213220152e+03 -9.039577893491997429e+01
-1.411604373490823036e+03 -1.207099832378583642e+03 -9.012420317411593373e+01
-1.402791663151125249e+03 -1.204058490006475722e+03 -9.019966114632151744e+01
-1.401853728213675822e+03 -1.206430783159058592e+03 -9.143702007825038436e+01
-1.409966396868109086e+03 -1.209006492936965969e+03 -9.173797573096453561e+01
-1.411489691451070030e+03 -1.210378095261242379e+03 -9.197127747778549178e+01
-1.403451733217083074e+03 -1.207037026539482895e+03 -9.116134173208422453e+01
-1.405781974932712728e+03 -1.211066940187024102e+03 -9.216484736130874467e+01
-1.397273770117395998e+03 -1.211756940243687040e+03 -9.281481353416890556e+01
-1.415372689311917838e+03 -1.210834105632034152e+03 -9.307001712036742447e+01
-1.415388880530304505e+03 -1.209396359892585224e+03 -9.174586934398067228e+01
-1.416878863456429826e+03 -1.201532902643464922e+03 -9.286353725460222108e+01
-1.417695544862135648e+03 -1.200055682254124577e+03 -9.218000271372443422e+01
-1.410131610958676674e+03 -1.206546886881256796e+03 -9.175670013258582003e+01
-1.394916274460225623e+03 -1.205256850314553049e+03 -9.261981427559737767e+01
-1.408452383214125575e+03 -1.208356086897912519e+03 -9.389657857878606251e+01
-1.397787596000348231e+03 -1.204552001436952878e+03 -9.281247502620013279e+01
-1.394472944882598313e+03 -1.207736361180676340e+03 -9.248790102263043877e+01
-1.386262817674352846e+03 -1.210158828777132840e+03 -9.030761142143936127e+01
-1.388214542453512649e+03 -1.208175255924672911e+03 -9.151853638080874020e+01
-1.383119561556361305e+03 -1.208420949195646017e+03 -9.092755307716856805e+01
-1.365703132819716075e+03 -1.208841106710390932e+03 -9.226086371310350387e+01
-1.375171722460956744e+03 -1.210350364831444722e+03 -9.317072418598266381e+01
-1.375430234766231024e+03 -1.214418516834059346e+03 -9.462002386532151377e+01
-1.389494267028057266e+03 -1.204914015821121666e+03 -9.233254133786829243e+01
-1.366885309810136732e+03 -1.204261425243951635e+03 -9.170877893333886277e+01
-1.359450355269086685e+03 -1.207812347306650963e+03 -9.343956176636291389e+01
-1.359881699837025508e+03 -1.205587409219664778e+03 -9.382353311762312842e+01
-1.361777556486735875e+03 -1.208888021665283532e+03 -9.261278298260788233e+01
-1.367951632581576632e+03 -1.208894335086936508e+03 -9.232730026130388978e+01
-1.369458155634205468e+03 -1.217759183102773932e+03 -9.227956116962945998e+01
-1.346216524344435129e+03 -1.218356582080081807e+03 -9.295048298392339348e+01
-1.354210079090617455e+03 -1.220131863228735483e+03 -9.172289015208707497e+01
-1.377562329938114317e+03 -1.215108974578128482e+03 -9.095650294379282741e+01
-1.377693978426433432e+03 -1.217505837775004238e+03 -9.175461211618127777e+01
-1.378790662539448704e+03 -1.211798499868594263e+03 -9.239158572168128103e+01
-1.351058152496383400e+03 -1.217472570793205477e+03 -9.318917516197006989e+01
-1.357875900557758087e+03 -1.215744542872814236e+03 -9.384499512436897817e+01
-1.341681423656939614e+03 -1.221104307028653920e+03 -9.344462159537368962e+01
-1.353930099426278730e+03 -1.214856495078769285e+03 -9.201981539726332926e+01
-1.346710769224317119e+03 -1.208338487215161194e+03 -9.273896549823507485e+01
-1.340831381273687157e+03 -1.206865485033927825e+03 -9.366453303627881155e+01
-1.352739478303143414e+03 -1.215041936143534031e+03 -9.390719445478958960e+01
-1.364881773419318051e+03 -1.210808432172422727e+03 -9.327042866719898484e+01
